Step,Value,Legend
422000.0,-4.52757531371057,Pos+CNN
423000.0,-4.498892602006823,Pos+CNN
424000.0,-4.511338895406542,Pos+CNN
425000.0,-4.44175767556221,Pos+CNN
426000.0,-4.476025244321636,Pos+CNN
427000.0,-4.478129162082971,Pos+CNN
428000.0,-4.476928854987428,Pos+CNN
429000.0,-4.505839031691488,Pos+CNN
430000.0,-4.4435873127653,Pos+CNN
431000.0,-4.495487770620993,Pos+CNN
432000.0,-4.508067517603249,Pos+CNN
433000.0,-4.562258586951663,Pos+CNN
434000.0,-4.493275456016403,Pos+CNN
435000.0,-4.515770568217719,Pos+CNN
436000.0,-4.444449777481546,Pos+CNN
437000.0,-4.494797326449266,Pos+CNN
438000.0,-4.468109711465762,Pos+CNN
439000.0,-4.4525352748579285,Pos+CNN
440000.0,-4.399952349139172,Pos+CNN
441000.0,-4.456652939537438,Pos+CNN
442000.0,-4.536538574306476,Pos+CNN
443000.0,-4.465592072951687,Pos+CNN
444000.0,-4.433682944596309,Pos+CNN
445000.0,-4.406623006770485,Pos+CNN
446000.0,-4.443152374887466,Pos+CNN
447000.0,-4.5226778005766874,Pos+CNN
448000.0,-4.565462663218141,Pos+CNN
449000.0,-4.524992107075972,Pos+CNN
450000.0,-4.4828504848345085,Pos+CNN
451000.0,-4.446837957846202,Pos+CNN
452000.0,-4.423673694669926,Pos+CNN
453000.0,-4.367322601946928,Pos+CNN
454000.0,-4.370740086008212,Pos+CNN
455000.0,-4.3884321199463265,Pos+CNN
456000.0,-4.424072712587926,Pos+CNN
457000.0,-4.4864293053063085,Pos+CNN
458000.0,-4.462571278075051,Pos+CNN
459000.0,-4.448996337370761,Pos+CNN
460000.0,-4.455433339388026,Pos+CNN
461000.0,-4.466884370630295,Pos+CNN
462000.0,-4.472423966910487,Pos+CNN
463000.0,-4.4305914991863,Pos+CNN
464000.0,-4.428786531694636,Pos+CNN
465000.0,-4.465725973077129,Pos+CNN
466000.0,-4.454147528694207,Pos+CNN
467000.0,-4.452890695663123,Pos+CNN
468000.0,-4.39330832804763,Pos+CNN
469000.0,-4.4473962208951265,Pos+CNN
470000.0,-4.385390060172331,Pos+CNN
471000.0,-4.391327838276386,Pos+CNN
472000.0,-4.3743209890185115,Pos+CNN
473000.0,-4.326922397720357,Pos+CNN
474000.0,-4.302838200193805,Pos+CNN
475000.0,-4.289193177391145,Pos+CNN
476000.0,-4.286680053632061,Pos+CNN
477000.0,-4.267894859525135,Pos+CNN
478000.0,-4.26159089966808,Pos+CNN
479000.0,-4.224532382249678,Pos+CNN
480000.0,-4.254256037604662,Pos+CNN
481000.0,-4.251615753119449,Pos+CNN
482000.0,-4.22167629284461,Pos+CNN
483000.0,-4.2290502723918335,Pos+CNN
484000.0,-4.2329276204131725,Pos+CNN
485000.0,-4.236675760152097,Pos+CNN
486000.0,-4.204952712806112,Pos+CNN
487000.0,-4.220805402750218,Pos+CNN
488000.0,-4.231145986265662,Pos+CNN
489000.0,-4.32883851719835,Pos+CNN
490000.0,-4.365811603698052,Pos+CNN
491000.0,-4.347290198565793,Pos+CNN
492000.0,-4.387196263207206,Pos+CNN
493000.0,-4.343171738094636,Pos+CNN
494000.0,-4.418684474012474,Pos+CNN
495000.0,-4.39061074635601,Pos+CNN
496000.0,-4.43423767211194,Pos+CNN
497000.0,-4.529692856034114,Pos+CNN
498000.0,-4.490823655508408,Pos+CNN
499000.0,-4.4846194602284095,Pos+CNN
500000.0,-4.563128512737315,Pos+CNN
501000.0,-4.526503661826554,Pos+CNN
502000.0,-4.441564129369993,Pos+CNN
503000.0,-4.487595792858463,Pos+CNN
504000.0,-4.4811925971867925,Pos+CNN
505000.0,-4.4470863898738395,Pos+CNN
506000.0,-4.469248395377096,Pos+CNN
507000.0,-4.479808044585597,Pos+CNN
508000.0,-4.522298660422724,Pos+CNN
509000.0,-4.5561460238874885,Pos+CNN
510000.0,-4.587059931265502,Pos+CNN
511000.0,-4.531929559004138,Pos+CNN
512000.0,-4.4863877089492865,Pos+CNN
513000.0,-4.491938452133414,Pos+CNN
514000.0,-4.449816095032724,Pos+CNN
515000.0,-4.41705104692629,Pos+CNN
516000.0,-4.431370575573628,Pos+CNN
517000.0,-4.518151799221094,Pos+CNN
518000.0,-4.565466965645843,Pos+CNN
519000.0,-4.561517772217371,Pos+CNN
520000.0,-4.549024850411007,Pos+CNN
521000.0,-4.5092831420587,Pos+CNN
522000.0,-4.502493048638321,Pos+CNN
523000.0,-4.483838504238632,Pos+CNN
524000.0,-4.512161823510647,Pos+CNN
525000.0,-4.463913861691499,Pos+CNN
526000.0,-4.377222270360159,Pos+CNN
527000.0,-4.344668968579212,Pos+CNN
528000.0,-4.351939967133589,Pos+CNN
529000.0,-4.303264081791131,Pos+CNN
530000.0,-4.331303349434668,Pos+CNN
531000.0,-4.337843088045088,Pos+CNN
532000.0,-4.3784815275149045,Pos+CNN
533000.0,-4.312264205346771,Pos+CNN
534000.0,-4.331611455742274,Pos+CNN
535000.0,-4.307244752050009,Pos+CNN
536000.0,-4.242062103242216,Pos+CNN
537000.0,-4.327739178057523,Pos+CNN
538000.0,-4.316967382004073,Pos+CNN
539000.0,-4.347889871668517,Pos+CNN
540000.0,-4.360581823893502,Pos+CNN
541000.0,-4.292447184793859,Pos+CNN
542000.0,-4.258545393257412,Pos+CNN
543000.0,-4.2252437897360515,Pos+CNN
544000.0,-4.177227790797192,Pos+CNN
545000.0,-4.232250659527597,Pos+CNN
546000.0,-4.224583930193489,Pos+CNN
